Bet,Hit_Probability,EV
Jackie Young UNDER 23.5 Points,12.5,67.1
Jewell Loyd UNDER 2.5 3-PT Made,14.4,63.3
Satou Sabally UNDER 9.5 Rebounds,15.0,62.2
Jackie Young UNDER 3.5 3-PT Made,15.3,61.6
Satou Sabally UNDER 4.5 3-PT Made,15.3,61.6
Satou Sabally UNDER 25.5 Points,15.4,61.4
Chelsea Gray UNDER 18.5 Points,16.1,60.1
Alyssa Thomas UNDER 14.5 Points,17.0,58.4
Jackie Young UNDER 5.5 Rebounds,18.2,56.2
Chelsea Gray UNDER 2.5 3-PT Made,18.5,55.6
Jewell Loyd UNDER 4.5 Assists,19.8,53.0
Chelsea Gray UNDER 6.5 Rebounds,19.8,53.0
Jewell Loyd UNDER 5.5 Rebounds,20.7,51.5
Chelsea Gray UNDER 5.5 Assists,21.6,49.7
Alyssa Thomas UNDER 9.5 Assists,25.8,41.6
Jackie Young UNDER 4.5 Assists,28.2,37.0
Satou Sabally STRONG OVER 3.5 Assists,66.3,26.5
